ATTENDANCE_ID,STUDENT_ID,COURSE_ID,ATTENDANCE_DATE,CHECK_IN_TIME,CHECK_OUT_TIME,ATTENDANCE_STATUS,ATTENDANCE_PERCENTAGE,RECORDED_BY,CREATED_TIMESTAMP
10001,1001,101,2026-08-25,2026-08-25 09:00:00,2026-08-25 10:00:00,Present,100.0,Attendance_Generator,2026-08-25 10:01:00
10002,1001,102,2026-08-25,2026-08-25 09:05:00,2026-08-25 10:00:00,Late,100.0,Attendance_Generator,2026-08-25 10:01:00
10003,1001,103,2026-08-25,,,Absent,0.0,Attendance_Generator,2026-08-25 10:01:00
10004,1001,104,2026-08-25,2026-08-25 09:01:00,2026-08-25 10:00:00,Present,100.0,Attendance_Generator,2026-08-25 10:01:00
10005,1001,105,2026-08-25,2026-08-25 09:02:00,2026-08-25 10:00:00,Present,100.0,Attendance_Generator,2026-08-25 10:01:00
10006,1002,101,2026-08-26,2026-08-26 09:00:00,2026-08-26 10:00:00,Present,100.0,Attendance_Generator,2026-08-26 10:01:00
10007,1002,102,2026-08-26,,,Absent,0.0,Attendance_Generator,2026-08-26 10:01:00
10008,1002,103,2026-08-26,2026-08-26 09:12:00,2026-08-26 10:00:00,Late,100.0,Attendance_Generator,2026-08-26 10:01:00
10009,1002,104,2026-08-26,,,Absent,0.0,Attendance_Generator,2026-08-26 10:01:00
10010,1002,105,2026-08-26,2026-08-26 09:03:00,2026-08-26 10:00:00,Present,100.0,Attendance_Generator,2026-08-26 10:01:00
10011,1003,101,2026-08-27,2026-08-27 09:00:00,2026-08-27 10:00:00,Present,100.0,Attendance_Generator,2026-08-27 10:01:00
10012,1003,102,2026-08-27,2026-08-27 09:08:00,2026-08-27 10:00:00,Late,100.0,Attendance_Generator,2026-08-27 10:01:00
10013,1003,103,2026-08-27,2026-08-27 09:00:00,2026-08-27 10:00:00,Present,100.0,Attendance_Generator,2026-08-27 10:01:00
10014,1003,104,2026-08-27,,,Absent,0.0,Attendance_Generator,2026-08-27 10:01:00
10015,1003,105,2026-08-27,2026-08-27 09:15:00,2026-08-27 10:00:00,Late,100.0,Attendance_Generator,2026-08-27 10:01:00
10016,1004,101,2026-08-28,,,Absent,0.0,Attendance_Generator,2026-08-28 10:01:00
10017,1004,102,2026-08-28,,,Absent,0.0,Attendance_Generator,2026-08-28 10:01:00
10018,1004,103,2026-08-28,2026-08-28 09:20:00,2026-08-28 10:00:00,Late,100.0,Attendance_Generator,2026-08-28 10:01:00
10019,1004,104,2026-08-28,,,Absent,0.0,Attendance_Generator,2026-08-28 10:01:00
10020,1004,105,2026-08-28,2026-08-28 09:02:00,2026-08-28 10:00:00,Present,100.0,Attendance_Generator,2026-08-28 10:01:00
